authors,publication_count
Crooks V.A.,50
Snyder J.,49
Johnston R.,32
Lunt N.,23
Turner L.,19
Ormond M.,18
Horsfall D.,17
Hanefeld J.,16
Whittaker A.,14
Adams K.,12
Connell J.,12
Medhekar A.,12
Smith R.,12
DeMicco F.J.,11
Smith M.,10
Whitmore R.,10
Cohen I.G.,9
Gan L.L.,8
Kingsbury P.,8
Frederick J.R.,7
Hall C.M.,7
Han H.,7
Jantunen E.,7
Labonté R.,7
Lee J.,7
Lee T.J.,7
Mainil T.,7
Musa G.,7
Mäntymaa P.,7
Puczkó L.,7
Wong H.Y.,7
Beena K.S.,6
Casey V.,6
Chee H.L.,6
Garman A.N.,6
Johnson T.J.,6
Konu H.,6
Levaggi R.,6
Moghavvemi S.,6
Patnaik B.,6
Shukla R.,6
Varmavuo V.,6
Zailani S.,6
Ajmera P.,5
Baeten R.,5
Cooper M.,5
Debata B.R.,5
Dryglas D.,5
Guiry M.,5
Kim S.,5
Mahapatra S.S.,5
Mannion R.,5
Nakayama M.,5
Needham D.M.,5
Nousiainen T.,5
Pyörälä M.,5
Ractham P.,5
Rokni L.,5
Ruggeri K.,5
Valtola J.,5
Venkatrama Raju D.,5
Birch D.W.,4
Chanda R.,4
Chelliah S.,4
Chen C.,4
Dharamsi S.,4
Gazitt Y.,4
Glinos I.A.,4
Gupta M.,4
Hall J.,4
Heung V.C.S.,4
Hieda M.,4
Horowitz M.D.,4
Hyun S.S.,4
Jun J.,4
Karmali S.,4
Khan M.J.,4
Kirkner R.M.,4
Kucukusta D.,4
Kuittinen T.,4
Lavezza A.,4
Lubowiecki-Vikuk A.,4
Moreira P.,4
Partanen A.,4
Pelkonen J.,4
Pennings G.,4
Reddy S.,4
Reisman D.,4
Ropponen A.,4
Runnels V.,4
Singh M.,4
Smith M.K.,4
Sobo E.J.,4
Soni V.,4
Spielberg P.,4
Voigt C.,4
Adabi K.,3
Ahmad N.,3
Ahn J.,3
Awang K.W.,3
Bezruchka S.,3
Bristow R.S.,3
Carrera P.M.,3
Cassens M.,3
Cerón A.,3
Chang F.-H.,3
Chantrapornchai C.,3
Chen K.-H.,3
Choksuchat C.,3
Crooks V.,3
Esposito D.H.,3
Gaines J.,3
Garfein E.S.,3
Garg R.,3
Goodrich J.N.,3
Gourdin E.,3
Haron M.S.,3
Hoyer E.H.,3
Hsu P.-F.,3
Huang L.,3
Hudson S.,3
Iranmanesh M.,3
Jones C.A.,3
Kangas B.,3
Kapilevich L.V.,3
Karuppan C.M.,3
Kelly C.,3
Kim H.J.,3
Kim M.-S.,3
Kmietowicz Z.,3
Komppula R.,3
Leng C.H.,3
Liu Q.,3
Menvielle L.,3
Meulemans H.,3
Mukherjee S.,3
Mupara L.M.,3
Muth S.,3
Nelson B.,3
Noree T.,3
Omar A.,3
Palm W.,3
Park S.-H.,3
Pesonen J.,3
Por H.H.,3
Putit L.,3
Rahman M.K.,3
Rawat N.,3
Reiter A.,3
Rosensweig J.A.,3
Saria S.,3
Sarwar A.,3
Shaughnessy P.,3
Sheppard C.E.,3
Shrock C.,3
