authors,title,year,source_title,document_type,cited_by,affiliations,author_keywords,doi,link
Connell J.,"Medical tourism: Sea, sun, sand and ... surgery",2006,Tourism Management,Article,489,"School of Geosciences, University of Sydney, NSW 2006, Australia",Asia; Economics; Health; Medicine; Tourism,10.1016/j.tourman.2005.11.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746326777&doi=10.1016%2fj.tourman.2005.11.005&partnerID=40&md5=9b690a292bd6001db77e2fae8f956053
"Bookman M.Z., Bookman K.R.",Medical tourism in developing countries,2007,Medical Tourism in Developing Countries,Book,257,"St. Joseph’s University, Philadelphia, United States",NA,10.1057/9780230605657,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014664334&doi=10.1057%2f9780230605657&partnerID=40&md5=17bae7ae5fb02e34f0d9ac902a41fcb5
Connell J.,"Contemporary medical tourism: Conceptualisation, culture and commodification",2013,Tourism Management,Review,230,"School of Geosciences, University of Sydney, NSW 2006, Australia",Diaspora; Marketing; Medical tourism; Medical travel; Multinationals; Procedures; Thailand; Tourist numbers; Typology,10.1016/j.tourman.2012.05.009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867139510&doi=10.1016%2fj.tourman.2012.05.009&partnerID=40&md5=3bb873ce02c0512835e7232450431d9f
"Mueller H., Kaufmann E.L.",Wellness tourism: Market analysis of a special health tourism segment and implications for the hotel industry,2001,Journal of Vacation Marketing,Article,202,"Research Institute for Leisure and Tourism, University of Berne, Switzerland",cluster analysis; health tourism; marketing solutions,10.1177/135676670100700101,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899155038&doi=10.1177%2f135676670100700101&partnerID=40&md5=a31edc451aafcd0151cf244d7511b595
"Horowitz M.D., Rosensweig J.A., Jones C.A.",Medical tourism: Globalization of the healthcare marketplace,2007,MedGenMed Medscape General Medicine,Article,190,"Global Perspectives Program, Goizueta Business School, Emory University, Atlanta, GA, United States; International Business and Finance, Goizueta Business School, Emory University, Atlanta, GA, United States; Department of Health Policy and Management, Bloomberg School of Public Health, Johns Hopkins University, Baltimore, MD, United States",NA,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-36249026987&partnerID=40&md5=3544438d0acc1f6655ef13814eebdd02
"Riemer B.L., Butterfield S.L., Diamond D.L., Young J.C., Raves J.J., Cottington E., Kislan K.",Acute mortality associated with injuries to the pelvic ring: The role of early patient mobilization and external fixation,1993,"Journal of Trauma - Injury, Infection and Critical Care",Article,187,"Department of Orthopaedic Surgery, Medical College of Pennsylvania, Allegheny Campus, Pittsburgh, PA, United States; Division of General Surgery, Medical College of Pennsylvania, Allegheny Campus, Pittsburgh, PA, United States; Allegheny Singer Research Institute, Allegheny General Hospital, Medical College of Pennsylvania, Allegheny Campus, Pittsburgh, PA, United States",NA,10.1097/00005373-199311000-00003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027484198&doi=10.1097%2f00005373-199311000-00003&partnerID=40&md5=39f384c9693c4196cf3511f68ea39f19
"Lunt N., Carrera P.",Medical tourism: Assessing the evidence on treatment abroad,2010,Maturitas,Review,184,"The York Management School, University of York, Sally Baldwin Buildings, Heslington, York YO10 5DD, United Kingdom; Mannheim Institute of Public Health, Social and Preventive Medicine, University of Heidelberg, Germany",Medical tourism; Overseas surgery; Treatment abroad,10.1016/j.maturitas.2010.01.017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77950956883&doi=10.1016%2fj.maturitas.2010.01.017&partnerID=40&md5=eb0f481d582276b75a63a06375376003
"Crooks V.A., Kingsbury P., Snyder J., Johnston R.",What is known about the patient's experience of medical tourism? A scoping review,2010,BMC Health Services Research,Article,182,"Department of Geography, Simon Fraser University, 8888 University Drive, Burnaby, BC, Canada; Faculty of Health Sciences, Simon Fraser University, 8888 University Drive, Burnaby, BC, Canada",NA,10.1186/1472-6963-10-266,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956461652&doi=10.1186%2f1472-6963-10-266&partnerID=40&md5=12257b43d58c716660ad4b7b846e6b16
"Han H., Hyun S.S.","Customer retention in the medical tourism industry: Impact of quality, satisfaction, trust, and price reasonableness",2015,Tourism Management,Article,168,"College of Hospitality and Tourism Management, Sejong University, 98 Gunja-Dong, Gwanjin-Gu, Seoul 143-747, South Korea; Department of Tourism and Convention, Pusan National University, Jangjeon-Dong, San 30, Kumjung-Gu, Busan 609-735, South Korea",Medical clinic; Medical tourism; Price reasonableness; Quality; Satisfaction; Trust,10.1016/j.tourman.2014.06.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903546783&doi=10.1016%2fj.tourman.2014.06.003&partnerID=40&md5=78f3ced99fdc43d2356e53fa8e2540b5
"Hopkins L., Labonté R., Runnels V., Packer C.",Medical tourism today: What is the state of existing knowledge,2010,Journal of Public Health Policy,Article,164,"School of Public Health, Health Sciences Building, University of Saskatchewan, 107 Wiggins Road, Saskatoon, SK S7N 5E5, Canada; Globalization and Health Equity, Institute of Population Health, University of Ottawa, 1 Stewart Street, Ottawa, ON K1N 6N5, Canada",Cross-border health care; Global health equity; Medical tourism,10.1057/jphp.2010.10,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77953499765&doi=10.1057%2fjphp.2010.10&partnerID=40&md5=b139b693df7a7e94c3db25d34e1c7b24
